dist_resumidas
0.5005
0.489125
0.403
0.35425
0.31525
0.28275
0.25025
0.229125
0.2015
0.1755
0.14625
0.12675
0.108875
0.078
0.0585
0.026
0.024375
0.013
0.00325
0.001625
