temperatura
216
147.9
141.5
135
128.4
121.4
117.9
114.5
111.1
107.5
109.2
111.2
113.3
115.4
113.9
111.7
109.6
107.5
105.4
103.2
101
98.8
98.3
98.2
98.1
97.9
97.1
96.1
95
94.1
92.9
91.8
90.6
89.4
88.7
88.3
87.9
87.3
86.5
85.1
84
82.8
82.1
81.7
81.2
80.6
79.9
79.2
78.3
77.5
76.8
76.5
75.9
75.6
75
74
73
72.1
71
70.4
69.6
68.6
68
67.6
67.4
66.9
66.2
65.5
64.8
64.1
63.4
62.9
62.5
62
61.5
61
60.6
60.2
59.7
59
58.2
57.6
56.8
55.8
54.9
53.9
53.2
53.5
53.5
53.7
53.5
52.6
51.9
51
50.2
50.3
50.5
50.5
50.5
49.8
48.8
48
47
47
47.2
47.2
47.2
46.8
46.3
45.9
45.6
45.4
45.4
45.3
45.3
44.7
44.1
43.8
43.4
42.9
42.3
41.7
41.3
40.7
39.9
39.2
38.2
37.9
37.8
37.5
37.3
37.5
37.8
37.9
38.2
38.2
38.1
37.9
37.9
37.6
37.1
36.7
36.4
36.5
36.7
36.8
37.1
37.5
37.6
37.9
38.2
39.6
41.4
43.4
45.3
45.2
43.4
41.4
39.6
38.5
38.7
39.2
39.3
39.3
39.3
39.3
39.3
39.2
39.2
39
39
38.7
39.3
39.6
39.9
40.1
39.9
39.8
39.5
39.3
39.3
39.2
39
38.7
38.7
38.5
38.5
38.4
38.4
38.4
38.4
38.4
38.4
38.4
38.4
38.5
38.7
38.7
39
39
39
38.7
38.5
38.5
38.5
38.7
38.7
38.7
38.7
38.5
38.4
38.2
38.4
38.4
38.5
38.5
38.4
38.1
37.8
37.5
37.5
37.6
37.8
37.9
38.1
37.9
37.8
37.6
37.6
37.8
37.9
38.1
37.9
37.8
37.5
37.5
37.5
37.5
37.6
37.6
37.8
37.8
37.8
37.8
37.6
37.6
37.6
37.6
37.6
37.8
37.6
37.8
37.9
37.9
37.9
38.1
38.1
37.9
37.8
37.6
37.6
37.6
37.6
37.6
37.6
37.8
37.9
38.1
38.1
37.8
37.5
37
36.7
36.5
36.5
36.5
36.5
36.4
36.4
36.4
36.4
36.4
36.4
36.4
36.4
36.4
36.7
36.8
36.8
37.1
36.8
36.8
37
37
37.1
37.1
37.1
37.1
37
37
36.8
36.8
36.8
37.1
37.5
